cluster,subcluster,sub_subcluster,indicator_num,indicator,source,variable,status,note
institutional_environment,justice_and_rule_of_law,,17,Access to justice for women,V-Dem,vdem_core_v2clacjstw,ok,
core_governance_functions,public_financial_management,budget_cycle_and_fiscal_planning,1,Fiscal stability,BTI,bs_bti_q8_2,ok,
core_governance_functions,public_financial_management,budget_cycle_and_fiscal_planning,2,Debt Transparency Index,CLIAR,wb_debt_transp_index,ok,
core_governance_functions,public_financial_management,budget_cycle_and_fiscal_planning,3,PFM management information systems,CLIAR/GTMI,wb_gtmi_pfm_mis,ok,
core_governance_functions,public_financial_management,budget_cycle_and_fiscal_planning,4,Budget documentation,PEFA PI-5,wb_pefa_pi_2016_05,ok,
core_governance_functions,public_financial_management,budget_cycle_and_fiscal_planning,5,Transfers to subnational governments,PEFA PI-7,wb_pefa_pi_2016_07,ok,
core_governance_functions,public_financial_management,budget_cycle_and_fiscal_planning,6,Performance info for service delivery,PEFA PI-8,wb_pefa_pi_2016_08,ok,
core_governance_functions,public_financial_management,budget_cycle_and_fiscal_planning,7,Fiscal risk reporting,PEFA PI-10,wb_pefa_pi_2016_10,ok,
core_governance_functions,public_financial_management,budget_cycle_and_fiscal_planning,8,Public asset management,PEFA PI-12,wb_pefa_pi_2016_12,ok,
core_governance_functions,public_financial_management,budget_cycle_and_fiscal_planning,9,Debt management,PEFA PI-13,wb_pefa_pi_2016_13,ok,
core_governance_functions,public_financial_management,budget_cycle_and_fiscal_planning,10,Macro/fiscal forecasting,PEFA PI-14,wb_pefa_pi_2016_14,ok,
core_governance_functions,public_financial_management,budget_cycle_and_fiscal_planning,11,Fiscal strategy,PEFA PI-15,wb_pefa_pi_2016_15,ok,
core_governance_functions,public_financial_management,budget_cycle_and_fiscal_planning,12,Medium-term expenditure budgeting,PEFA PI-16,wb_pefa_pi_2016_16,ok,
core_governance_functions,public_financial_management,budget_cycle_and_fiscal_planning,13,Budget preparation process,PEFA PI-17,wb_pefa_pi_2016_17,ok,
core_governance_functions,public_financial_management,budget_cycle_and_fiscal_planning,14,Legislative scrutiny of budgets,PEFA PI-18,wb_pefa_pi_2016_18,ok,
core_governance_functions,public_financial_management,budget_cycle_and_fiscal_planning,15,Predictability of in-year resource allocation,PEFA PI-21,wb_pefa_pi_2016_21,ok,
core_governance_functions,public_financial_management,budget_cycle_and_fiscal_planning,16,Expenditure arrears,PEFA PI-22,wb_pefa_pi_2016_22,ok,
core_governance_functions,public_financial_management,budget_cycle_and_fiscal_planning,17,Payroll controls,PEFA PI-23,wb_pefa_pi_2016_23,ok,
core_governance_functions,public_financial_management,budget_cycle_and_fiscal_planning,18,Procurement,PEFA PI-24,wb_pefa_pi_2016_24,ok,
core_governance_functions,public_financial_management,budget_cycle_and_fiscal_planning,19,Internal controls on non-salary expenditure,PEFA PI-25,wb_pefa_pi_2016_25,ok,
core_governance_functions,public_financial_management,budget_cycle_and_fiscal_planning,20,Internal audit effectiveness,PEFA PI-26,wb_pefa_pi_2016_26,ok,
core_governance_functions,public_financial_management,budget_cycle_and_fiscal_planning,21,Financial data integrity,PEFA PI-27,wb_pefa_pi_2016_27,verify,cliaretl docstrings for PI-27 and PI-28 are near-identical (both describe PI-27 reconciliation). Values not independently verified.
core_governance_functions,public_financial_management,budget_cycle_and_fiscal_planning,22,In-year budget reports,PEFA PI-28,wb_pefa_pi_2016_28,verify,See PI-27 note - cliaretl docstring for PI-28 appears to be a copy-paste of PI-27; verify contents.
core_governance_functions,public_financial_management,budget_cycle_and_fiscal_planning,23,Annual financial reports,PEFA PI-29,wb_pefa_pi_2016_29,ok,
core_governance_functions,public_financial_management,budget_cycle_and_fiscal_planning,24,External audit,PEFA PI-30,wb_pefa_pi_2016_30,ok,
core_governance_functions,public_sector_hrm,,1,Rigorous and impartial public administration,V-Dem,vdem_core_v2clrspct,ok,
core_governance_functions,public_sector_hrm,,2,Efficient use of assets,BTI,bs_bti_q15_1,ok,
core_governance_functions,public_sector_hrm,,3,Criteria for appointment decisions in state administration,V-Dem,vdem_core_v2stcritrecadm,ok,
core_governance_functions,public_sector_hrm,,4,Access to state jobs by political group,V-Dem,vdem_core_v2peasjpol,ok,
core_governance_functions,public_sector_hrm,,5,Access to state jobs by socioeconomic position,V-Dem,vdem_core_v2peasjsoecon,ok,
core_governance_functions,digital_and_data,,1,Core Government Systems Index (CGSI),GTMI,wb_gtmi_cgsi,ok,
core_governance_functions,digital_and_data,,2,GovTech Enablers Index (GTEI),GTMI,wb_gtmi_gtei,ok,
core_governance_functions,digital_and_data,,3,Public Service Delivery Index (PSDI),GTMI,wb_gtmi_psdi,ok,
core_governance_functions,digital_and_data,,4,Censuses and surveys,SPI,wb_spi_census_and_survey_index,verify,Present in this cliaretl's closeness_to_frontier_dynamic (earlier extraction had reported it missing).
core_governance_functions,digital_and_data,,5,Standards and methods,SPI,wb_spi_std_and_methods,ok,
beyond_core_governance_functions,market_regulatory_institutions,,1,Property rights,V-Dem,vdem_core_v2xcl_prpty,ok,
beyond_core_governance_functions,market_regulatory_institutions,,2,Competition policy,BTI,bs_bti_q7_2,ok,
beyond_core_governance_functions,market_regulatory_institutions,,3,Regulatory enforcement,WJP,wjp_rol_6,ok,
beyond_core_governance_functions,market_regulatory_institutions,,4,Efficiency of the clearance process,WB LPI,wb_lpi_lp_lpi_cust_xq,verify,Resolved to wb_lpi_lp_lpi_cust_xq (in db_variables_final and closeness_to_frontier_dynamic). No `wb_wdi_` prefixed variant exists in this cliaretl.
beyond_core_governance_functions,market_regulatory_institutions,,5,Bank concentration (%),GFDB,wb_gfdb_oi_01,verify,Resolved by text match: 'assets of the three largest commercial banks as a share of total commercial banking assets'.
beyond_core_governance_functions,market_regulatory_institutions,,6,"Women, Business and Law Entrepreneurship Index",WBL,wb_wbl_entrepreneurship,ok,
beyond_core_governance_functions,service_delivery,,1,Access to public services by political group,V-Dem,vdem_core_v2peapspol,ok,
beyond_core_governance_functions,service_delivery,,2,Access to public services by socioeconomic position,V-Dem,vdem_core_v2peapsecon,ok,
beyond_core_governance_functions,service_delivery,,3,Access to public services by gender,V-Dem,vdem_core_v2peapsgen,ok,
beyond_core_governance_functions,service_delivery,,4,Pregnant women receiving prenatal care (%),WDI,wdi_shstaanvczs,ok,
beyond_core_governance_functions,service_delivery,,5,Births attended by skilled health staff (%),WDI,wdi_shstabrtczs,ok,
beyond_core_governance_functions,service_delivery,,6,Completeness of birth registration (%),WDI,wdi_spregbrthzs,ok,
beyond_core_governance_functions,service_delivery,,7,"Pupil-teacher ratio, primary",WDI,wdi_seprmenrltczs,ok,
beyond_core_governance_functions,service_delivery,,8,"Pupil-teacher ratio, secondary",WDI,wdi_sesecenrltczs,ok,
beyond_core_governance_functions,service_delivery,,9,"Trained teachers, pre-primary (%)",WDI,wdi_sepretcaqzs,ok,
beyond_core_governance_functions,service_delivery,,10,"Trained teachers, primary (%)",WDI,wdi_seprmtcaqzs,ok,
beyond_core_governance_functions,service_delivery,,11,"Trained teachers, secondary (%)",WDI,wdi_sesectcaqzs,ok,
beyond_core_governance_functions,soe_governance,,1,Scope of state-owned enterprises,OECD PMR,,unresolved,No distinct 'scope of SOE' code isolated in this cliaretl. OECD PMR codes are static-only.
beyond_core_governance_functions,soe_governance,,2,Government involvement in network sectors,OECD PMR,oecd_pmr_2018_2_2_1,verify,Static-only (not in closeness_to_frontier_dynamic). Text match: 'restrictions on key network sector firms'.
beyond_core_governance_functions,soe_governance,,3,Direct control over business enterprises,OECD PMR,oecd_pmr_2018_1_3,verify,Static-only. Text match: 'special voting rights by the government... constraints to sale of government stakes'.
beyond_core_governance_functions,soe_governance,,4,Governance of state-owned enterprises,OECD PMR,,unresolved,reconfiguration.md flags oecd_pmr_2018_2_2_1 as benchmark_dynamic_indicator = No; used above for a different indicator. No dedicated SOE-governance code isolated.
beyond_core_governance_functions,soe_governance,,5,Price controls,OECD PMR,oecd_pmr_2018_2_1,verify,Static-only. Text match: 'whether tariffs are regulated and whether there are laws and regulations that limit competition'.
beyond_core_governance_functions,soe_governance,,6,Use of command-and-control regulation,OECD PMR,,unresolved,No command-and-control-specific code isolated in this cliaretl.
context,political_institutions_and_social_cohesion,,1,Constraints on government powers,WJP,wjp_rol_1,ok,
context,political_institutions_and_social_cohesion,,2,Separation of powers,BTI,bs_bti_q3_1,ok,
context,political_institutions_and_social_cohesion,,3,Legislative constraints on the executive index,V-Dem,vdem_core_v2xlg_legcon,ok,
context,political_institutions_and_social_cohesion,,4,Free and fair elections,BTI,bs_bti_q2_1,ok,
context,political_institutions_and_social_cohesion,,5,Political rights,Freedom House,fh_fiw_pr_rating,ok,
context,political_institutions_and_social_cohesion,,6,Civil liberties,Freedom House,fh_fiw_cl_rating,ok,
context,political_institutions_and_social_cohesion,,7,Association and assembly rights,BTI,bs_bti_q2_3,ok,
context,political_institutions_and_social_cohesion,,8,Political polarization,V-Dem,vdem_core_v2cacamps,ok,
context,political_institutions_and_social_cohesion,,9,Press freedom,Press Freedom Index,rwb_pfi_index,ok,
context,political_institutions_and_social_cohesion,,10,Civil society participation,V-Dem,vdem_core_v2x_cspart,ok,
context,political_institutions_and_social_cohesion,,11,CSO entry and exit,V-Dem,vdem_core_v2cseeorgs,ok,
context,political_institutions_and_social_cohesion,,12,CSO repression,V-Dem,vdem_core_v2csreprss,ok,
context,political_institutions_and_social_cohesion,,13,Engaged society,V-Dem,vdem_core_v2dlengage,ok,
context,political_institutions_and_social_cohesion,,14,Freedom of assembly and association,WJP,wjp_rol_4_7,ok,
context,political_institutions_and_social_cohesion,,15,Freedom of academic and cultural expression,V-Dem,vdem_core_v2clacfree,ok,
context,political_institutions_and_social_cohesion,,16,Freedom of belief and religion,WJP,wjp_rol_4_5,ok,
context,political_institutions_and_social_cohesion,,17,Freedom of opinion and expression,WJP,wjp_rol_4_4,verify,Resolved to wjp_rol_4_4 (var_name 'Freedom of opinion and expression').
context,political_institutions_and_social_cohesion,,18,Freedom from arbitrary interference with privacy,WJP,wjp_rol_4_6,ok,
context,political_institutions_and_social_cohesion,,19,Freedom of discussion for men,V-Dem,vdem_core_v2cldiscm,ok,
context,political_institutions_and_social_cohesion,,20,Freedom of discussion for women,V-Dem,vdem_core_v2cldiscw,ok,
context,political_institutions_and_social_cohesion,,21,Women's Social Equality Index,CLIAR,wb_wbl_social,verify,"Resolved to wb_wbl_social (var_name ""Women's social equality index""). cliaretl family = 'Social Institutions'."
context,social_cohesion_norms_and_cooperation,,1,Power distributed by socioeconomic position,V-Dem,vdem_core_v2pepwrses,ok,
context,social_cohesion_norms_and_cooperation,,2,Power distributed by social group,V-Dem,vdem_core_v2pepwrsoc,ok,
context,social_cohesion_norms_and_cooperation,,3,Power distributed by gender,V-Dem,vdem_core_v2pepwrgen,ok,
context,social_cohesion_norms_and_cooperation,,4,Lower chamber gender quota,V-Dem,vdem_core_v2lgqugen,ok,
context,social_cohesion_norms_and_cooperation,,5,Women Political Empowerment Index,V-Dem,vdem_core_v2x_gender,ok,
